id,title,founder,description,address,created,active,category_type_id,landmarkObject_id,lang_id
11,Wrong El Din Citadel,,"The Citadel of Cairo or Citadel of Saladin (Arabic: قلعة صلاح الدين, romanized: Qalaʿat Salāḥ ad-Dīn) is a medieval Islamic-era fortification in Cairo, Egypt, built by Salah ad-Din (Saladin) and further developed by subsequent Egyptian rulers. It was the seat of government in Egypt and the residence of its rulers for nearly 700 years from the 13th to the 19th centuries. Its location on a promontory of the Mokattam hills near the center of Cairo commands a strategic position overlooking the city and dominating its skyline. When it was constructed it was among the most impressive and ambitious military fortification projects of its time. It is now a preserved historic site, including mosques and museums.

In addition to the initial Ayyubid-era construction begun by Saladin in 1176, the Citadel underwent major development during the Mamluk Sultanate that followed, culminating with the construction projects of Sultan al-Nasir Muhammad in the 14th century. In the first half of the 19th century Muhammad Ali Pasha demolished many of the older buildings and built new palaces and monuments all across the site, giving it much of its present form. In the 20th century it was used as a military garrison by the British occupation and then by the Egyptian Army until being opened to the public in 1983. In 1976, it was proclaimed by UNESCO as a part of the World Heritage Site Historic Cairo (Islamic Cairo) which was '"the new centre of the Islamic world, reaching its golden age in the 14th century.","Salah Salem Street, Cairo",2023-06-17 21:11:46.456334+00,t,1,28,1
12,قلعة إل دين خاطئة,,"قلعة القاهرة أو القلعة من السلاحين (العربية: قluة صlaze ، الروماني: Qalaʿat salāḥ ad dīn) هو تحصين في عصر الإسلامي في القاهرة في القاهرة ، مصر ، بنيت من قبل صلاح الدين (saladin) وتطويرها أكثرالحكام.كان مقر الحكومة في مصر وإقامة حكامها منذ ما يقرب من 700 عام من القرن الثالث عشر إلى القرن التاسع عشر.إن موقعها على رعن لتلال Mokattam بالقرب من مركز القاهرة يتصور موقعًا استراتيجيًا يطل على المدينة ويسيطر على أفقها.عندما تم بناؤه ، كان من بين مشاريع التحصين العسكرية الأكثر إثارة للإعجاب وطموح في عصرها.إنه الآن موقع تاريخي محفوظ ، بما في ذلك المساجد والمتاحف.

بالإضافة إلى البناء الأولي في عصر أييوبيد الذي بدأه السلاحين في عام 1176 ، خضعت القلعة لتطور كبير خلال سلطنة ملوك التي تلت ذلك ، وبلغت ذروتها بمشاريع بناء السلطان الناصر محمد في القرن الرابع عشر.في النصف الأول من القرن التاسع عشر ، هدم محمد علي باشا العديد من المباني القديمة وبناء قصور وآثار جديدة في جميع أنحاء الموقع ، مما يمنحه الكثير من شكله الحالي.في القرن العشرين ، تم استخدامه كحامية عسكرية من قبل الجيش المصري ، ثم من قبل الجيش المصري حتى يتم افتتاحه للجمهور في عام 1983. في عام 1976 ، أعلنت اليونسكو كجزء من موقع التراث العالمي التاريخي القاهرة التاريخية (الإسلاميةالقاهرة) التي كانت '"المركز الجديد للعالم الإسلامي ، حيث وصلت إلى عصره الذهبي في القرن الرابع عشر.",شارع صلاح سالم ، القاهرة,2023-06-17 21:11:47.099095+00,t,2,28,2
13,aaaa bbb,BBBBBB BBBBB,gggggggg,Aaaaaa,2023-06-17 22:17:32.209734+00,t,1,29,1
14,AAAA BBB,BBBBBB BBBBB,gggggggg,AAAAAA,2023-06-17 22:17:34.405176+00,t,2,29,2
16,aaaa,ggggg,ggggg,bbbb,2023-06-17 22:55:56.276895+00,t,1,31,1
17,AAAA,GGGGG,GGGGG,BBBB,2023-06-17 22:55:58.19943+00,t,2,31,2
18,Awy bub,ggggg,ggggg,bbbb,2023-06-17 23:26:26.168736+00,t,1,32,1
19,عوي بوب,GGGGG,GGGGG,BBBB,2023-06-17 23:26:27.809599+00,t,2,32,2
20,AAAAA,ggggg,"hhsjshsvs
jshsvsv
ksjshsh
mzhzgz
jsggsgs",hhhhhh,2023-06-17 23:34:22.865219+00,t,1,33,1
21,AAAAA,GGGGG,"HHSJSHSVS
JSHSVSV
KSJSHSH
mzhzgz
JSGGSGS",HHHHHH,2023-06-17 23:34:23.539319+00,t,2,33,2
22,ahram,ggyyhgggggg,"gggggg
s
s
jhshsuwh

s
sjj",hhgg,2023-06-17 23:42:43.601682+00,t,1,34,1
23,أحرم,ggyyhgggggg,"GGGGGG
س
س
JHSHSUWH

س
SJJ",HGG,2023-06-17 23:42:46.894181+00,t,2,34,2
24,mmmmmmmm,mmmmm,"mmmmmmm
mmmmm
mmmmm
jJkkk",mmmmmmm,2023-06-17 23:50:41.09497+00,t,1,35,1
25,mmmmmmmm,ط ط ط,"Mmmmmmm
ط ط ط
ط ط ط
jjkkk",Mmmmmmm,2023-06-17 23:50:45.781092+00,t,2,35,2
26,gggggv,ttttttt,"yyyyy
g
hhhh
g
g
g",gggggg,2023-06-17 23:58:39.317561+00,t,1,36,1
27,GGGGGV,TTTTTTT,"yyyyy
ز
HHHH
ز
ز
ز",GGGGGG,2023-06-17 23:58:40.183289+00,t,2,36,2
28,mmmm,ttttt,"ttttt
tttt",mmm,2023-06-18 00:02:26.156769+00,t,1,37,1
29,ط ط ط,TTTTT,"TTTTT
TTTT",ط ط ط,2023-06-18 00:02:27.083496+00,t,2,37,2
30,mmmmgg,hhhhhh,"gggg
fccc
dddd",ggggg,2023-06-18 00:03:59.289639+00,t,1,38,1
31,MMMMGG,HHHHHH,"GGGG
FCCC
DDDD",GGGGG,2023-06-18 00:04:00.107828+00,t,2,38,2
32,hhhhhhhh fsd sdf sad,ddddddd,"dddd
goddess",HHHHHHHH,2023-06-19 23:33:38.528265+00,t,1,39,1
33,hhhhhhhhh fsd sdf حزين,DDDDDDD,"DDDD
إلهة",HHHHHHHH,2023-06-19 23:33:44.162136+00,t,2,39,2
